number	createdAt	wave	title	headRef	url
1262	22/07/2026 16:31:11	other	fix(startup): bound silent bootstrap hangs	codex/07221740-1-startup-hang-timeouts-20260722	https://github.com/rayswaynl/a2waspwarfare/pull/1262
1278	22/07/2026 17:43:51	other	fix(tools): refresh 11 stale PR8 static-smoke assertions vs master	codex/pr-harness-staleness-refresh-20260722	https://github.com/rayswaynl/a2waspwarfare/pull/1278
1401	25/07/2026 10:34:02	fold-meta	fix(security): re-derive ATTACK_WAVE_INIT discount input from server supply	claude/u2-harden-attackwave-init-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1401
1530	27/07/2026 12:25:35	sqf-correctness	fix: wait for populated USV town roster	codex/main-07270840-1-usv-coastal-tag-init-race-20260727	https://github.com/rayswaynl/a2waspwarfare/pull/1530
1536	27/07/2026 22:12:51	other	fix(earplugs): duck all effect SFX and restore effects volume on toggle-off	claude/earplugs-full-sfx-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1536
1537	27/07/2026 22:18:38	other	fix: preserve static-defense crew fallback at group cap	codex/main-07270548-1-manned-defences	https://github.com/rayswaynl/a2waspwarfare/pull/1537
1540	27/07/2026 23:22:02	aicom	fix(aicom): chunk founding hot scans	codex/codex-main-07271028-1-teamsfound-chunking	https://github.com/rayswaynl/a2waspwarfare/pull/1540
1544	28/07/2026 04:45:50	telemetry-client	fix: preserve fortification preview color	codex/main-07280026-2-fortif-unbuildable	https://github.com/rayswaynl/a2waspwarfare/pull/1544
1545	28/07/2026 05:00:22	other	fix(usv): refill missing flotilla role	codex/main-07270715-2-usv-aa-role-refill-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1545
1547	28/07/2026 05:26:15	combat-content	fix(airdef): bound enemy-air scan slices	codex/guer-airdef-slice-chernarus-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1547
1548	28/07/2026 05:33:14	aicom	fix(aicom): map-scale DECAP enemy-town gate	codex/main-07260818-ap1-decap-gate-maprelative-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1548
1584	28/07/2026 19:06:20	aicom	feat(aicom): add WEST fixed-wing team templates to USMC roster [flag WFBE_C_AICOM_WEST_JETS default 0]	fable/west-jet-templates	https://github.com/rayswaynl/a2waspwarfare/pull/1584
1588	28/07/2026 19:19:53	aicom	feat(aicom): implement AICOM airlift LIFT at the in-loop delivery point [flag WFBE_C_AICOM_AIRLIFT_V2 default 0]	fable/airlift-v2	https://github.com/rayswaynl/a2waspwarfare/pull/1588
1589	28/07/2026 19:23:29	aicom	feat(aicom): HC-safe single-team air quickstart at founding [flag WFBE_C_AICOM_AIR_QUICKSTART default 0]	fable/air-quickstart-v2	https://github.com/rayswaynl/a2waspwarfare/pull/1589
1598	29/07/2026 09:13:06	aicom	fix(aicom): seed _eligible/_pick epilogue reads on the server-local founding path (live RPT x47 pairs)	fable/teams-epilogue-nilguard-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1598
1599	29/07/2026 19:43:56	mission-core-r-series	fix(lint): ignore diagnostic STR labels	codex/string-formatting-bughunt-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1599
1602	29/07/2026 21:37:53	other	fix(defense): null-guard getPosATL + reman poll	fix/defense-reman-nullguard-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1602
1603	29/07/2026 22:28:00	aicom	fix(aicom): durable CBR research latch across supervisor restart	fix/aicom-cbr-research-restart-durable-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1603
1606	29/07/2026 22:53:07	mission-core-r-series	fix: preserve respawn backpack cargo and EASA pricing	codex/loadout-gear-bughunt-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1606
1607	29/07/2026 23:12:29	aicom	fix(aicom): nil-safe buy-unit queue release so abort refunds always run	fix/aicom-produce-sidecap-recheck-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1607
1610	29/07/2026 23:57:13	aicom	fix(aicom): service tick refuels ground hulls and detours on low fuel	fix/aicom-service-refuel-ground-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1610
1612	30/07/2026 00:15:01	mission-core-r-series	fix(ft/respawn): charge-after-success, start recheck, free-mode dedupe, mobile side gate	fix/ft-mobile-respawn-bughunt-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1612
1614	30/07/2026 01:24:32	aicom	fix(aicom): enforce HQ range on fallback placement	codex/aicom-hqrange-fallback-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1614
1615	30/07/2026 01:27:28	alife	fix(alife): town detect range hysteresis (active 1.25x > idle 1x)	fix/alife-town-detect-hysteresis-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1615
1616	30/07/2026 01:38:44	aicom	fix(vote): election tally latch + ballot sanitize + claim/vote grant race	fix/commander-election-vote-tally-latch-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1616
1617	30/07/2026 01:45:39	telemetry-client	fix(client): type-safe shared factory queue tokens (AI SCALAR vs player STRING)	fix/type-mismatch-queue-token-coercion-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1617
1618	30/07/2026 02:12:56	aicom	fix(aicom): man QUERYUNITTURRETS seats in Common_CreateTeam	fix/aicom-createteam-turret-crew-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1618
1619	30/07/2026 02:27:11	mission-core-r-series	fix(supply): cargo transfer world revalidation + deliverer + exitWith latch	fix/supply-transport-cargo-bughunt-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1619
1620	30/07/2026 02:38:10	combat-content	fix(guer-drones): align GUER SCUD menu cost to the server charge (WFBE_C_SCUD_COST)	claude/guer-scud-cost-align-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1620
1621	30/07/2026 03:08:27	alife	fix(alife): group-first teardown for ambient/wildcard event despawns	fix/alife-ambient-event-triggers-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1621
1622	30/07/2026 03:12:49	mission-core-r-series	fix(jip): disconnect must not delete preserved AI team leader	fix/mission-core-disconnect-slot-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1622
